0,0,0,0,0,0,0,0,0
1,27.281,26.872,2311.2,25.267,24.387,24.23,24.041,24.01
1.5,27.281,26.934,2311.2,25.299,24.387,24.198,24.01,24.01
2,27.155,27.312,2311.2,25.299,24.418,24.198,24.041,24.01
2.5,26.872,27.753,2311.2,25.33,24.418,24.198,24.073,24.041
3,26.872,27.941,2311.2,25.362,24.418,24.198,24.041,24.041
3.5,26.934,27.784,2311.2,25.362,24.418,24.198,24.041,24.01
4,27.092,27.532,2311.2,25.393,24.481,24.23,24.041,24.01
4.5,27.281,27.281,2311.2,25.425,24.481,24.23,24.041,24.01
5,27.218,27.406,2311.2,25.456,24.481,24.198,24.073,24.01
5.5,27.029,27.784,2311.2,25.487,24.481,24.198,24.041,24.01
6,26.809,28.256,2311.2,25.487,24.481,24.198,24.041,24.01
6.5,26.809,28.382,2311.2,25.519,24.513,24.23,24.073,24.01
7,26.934,28.256,2311.2,25.55,24.481,24.23,24.041,24.01
7.5,27.092,28.004,2311.2,25.55,24.544,24.23,24.041,24.01
8,27.249,27.784,2311.2,25.613,24.544,24.198,24.041,24.01
8.5,27.155,27.879,2311.2,25.645,24.576,24.23,24.041,24.01
9,26.934,28.319,2311.2,25.676,24.576,24.23,24.073,24.01
9.5,26.777,28.76,2311.2,25.676,24.576,24.198,24.041,24.01
10,26.777,28.823,2311.2,25.708,24.607,24.23,24.073,24.01
10.5,26.934,28.665,2311.2,25.739,24.607,24.23,24.041,24.01
11,27.123,28.351,2311.2,25.802,24.638,24.198,24.041,24.01
11.5,27.186,28.256,2311.2,25.865,24.638,24.198,24.041,24.01
12,27.06,28.508,2311.2,25.833,24.638,24.23,24.041,24.041
12.5,26.84,28.98,2311.2,25.896,24.638,24.23,24.041,24.01
13,26.714,29.295,2311.2,25.928,24.67,24.23,24.041,24.01
13.5,26.777,29.264,2311.2,25.928,24.67,24.23,24.041,24.01
14,26.966,29.043,2311.2,26.022,24.701,24.23,24.041,24.01
14.5,27.123,28.791,2311.2,25.991,24.733,24.23,24.041,24.01
15,27.155,28.76,2311.2,26.054,24.701,24.23,24.041,24.01
15.5,26.997,29.106,2311.2,26.085,24.733,24.23,24.041,24.01
16,26.777,29.579,2311.2,26.148,24.796,24.23,24.073,24.041
16.5,26.746,29.799,2311.2,26.179,24.796,24.23,24.073,24.041
17,26.809,29.705,2311.2,26.211,24.796,24.23,24.041,24.01
